Number of tracking points : 15668
Max speed : 103(old) -> 103(new)
Damage : 0(old) -> 0(new)
Total Time taken old tracking file : 12:51:49
Total Time taken new tracking file : 12:51:49

 | No    | X                      | Y                        | Heading    | Speed      | Damage | Date and Time                                  | 
 | 197   | 137592.9 -> 137592.9   | 80140.8 -> 80140.8       | 24 -> 24   | 58 -> 58   | 0 -> 0 | 12/5/2020 7:44:14 PM -> 12/7/2020 7:59:44 PM   | 
 | 199   | 137560.5 -> 137560.5   | 80143.4 -> 80143.4       | 28 -> 28   | 57 -> 57   | 0 -> 0 | 12/5/2020 7:44:16 PM -> 12/7/2020 7:59:46 PM   | 
 | 201   | 137529.3 -> 137529.3   | 80152.83 -> 80152.83     | 30 -> 30   | 59 -> 59   | 0 -> 0 | 12/5/2020 7:44:18 PM -> 12/7/2020 7:59:48 PM   | 
 | 203   | 137498.7 -> 137498.7   | 80164.72 -> 80164.72     | 31 -> 31   | 59 -> 59   | 0 -> 0 | 12/5/2020 7:44:20 PM -> 12/7/2020 7:59:50 PM   | 
 | 205   | 137470.6 -> 137470.6   | 80177.68 -> 80177.68     | 32 -> 32   | 54 -> 54   | 0 -> 0 | 12/5/2020 7:44:22 PM -> 12/7/2020 7:59:52 PM   | 
 | 207   | 137447.3 -> 137447.3   | 80186.98 -> 80186.98     | 26 -> 26   | 39 -> 39   | 0 -> 0 | 12/5/2020 7:44:24 PM -> 12/7/2020 7:59:54 PM   | 
 | 209   | 137428.3 -> 137428.3   | 80173.74 -> 80173.74     | 10 -> 10   | 48 -> 48   | 0 -> 0 | 12/5/2020 7:44:26 PM -> 12/7/2020 7:59:56 PM   | 
 | 211   | 137414.9 -> 137414.9   | 80147.22 -> 80147.22     | 8 -> 8     | 56 -> 56   | 0 -> 0 | 12/5/2020 7:44:28 PM -> 12/7/2020 7:59:58 PM   | 
 | 213   | 137398.6 -> 137398.6   | 80117.92 -> 80117.92     | 8 -> 8     | 62 -> 62   | 0 -> 0 | 12/5/2020 7:44:30 PM -> 12/7/2020 8:00:00 PM   | 
 | 215   | 137379.9 -> 137379.9   | 80084.81 -> 80084.81     | 8 -> 8     | 71 -> 71   | 0 -> 0 | 12/5/2020 7:44:32 PM -> 12/7/2020 8:00:02 PM   | 
 | 217   | 137362.5 -> 137362.5   | 80047.86 -> 80047.86     | 6 -> 6     | 78 -> 78   | 0 -> 0 | 12/5/2020 7:44:34 PM -> 12/7/2020 8:00:04 PM   | 
 | 219   | 137348.3 -> 137348.3   | 80002.79 -> 80002.79     | 4 -> 4     | 84 -> 84   | 0 -> 0 | 12/5/2020 7:44:36 PM -> 12/7/2020 8:00:06 PM   | 
 | 221   | 137339.8 -> 137339.8   | 79957.16 -> 79957.16     | 3 -> 3     | 85 -> 85   | 0 -> 0 | 12/5/2020 7:44:38 PM -> 12/7/2020 8:00:08 PM   | 
 | 223   | 137332 -> 137332       | 79910.96 -> 79910.96     | 3 -> 3     | 85 -> 85   | 0 -> 0 | 12/5/2020 7:44:40 PM -> 12/7/2020 8:00:10 PM   | 
 | 225   | 137324.2 -> 137324.2   | 79867.69 -> 79867.69     | 3 -> 3     | 87 -> 87   | 0 -> 0 | 12/5/2020 7:44:42 PM -> 12/7/2020 8:00:12 PM   | 
 | 227   | 137315.6 -> 137315.6   | 79816.71 -> 79816.71     | 3 -> 3     | 89 -> 89   | 0 -> 0 | 12/5/2020 7:44:44 PM -> 12/7/2020 8:00:14 PM   | 
 | 229   | 137306.8 -> 137306.8   | 79767.05 -> 79767.05     | 3 -> 3     | 85 -> 85   | 0 -> 0 | 12/5/2020 7:44:47 PM -> 12/7/2020 8:00:17 PM   | 
 | 231   | 137298.5 -> 137298.5   | 79721.23 -> 79721.23     | 3 -> 3     | 82 -> 82   | 0 -> 0 | 12/5/2020 7:44:48 PM -> 12/7/2020 8:00:18 PM   | 
 | 233   | 137291.2 -> 137291.2   | 79677.5 -> 79677.5       | 3 -> 3     | 68 -> 68   | 0 -> 0 | 12/5/2020 7:44:50 PM -> 12/7/2020 8:00:20 PM   | 
 | 235   | 137285.3 -> 137285.3   | 79646.83 -> 79646.83     | 4 -> 4     | 50 -> 50   | 0 -> 0 | 12/5/2020 7:44:53 PM -> 12/7/2020 8:00:23 PM   | 
 | 237   | 137264.2 -> 137264.2   | 79632.78 -> 79632.78     | 24 -> 24   | 43 -> 43   | 0 -> 0 | 12/5/2020 7:44:54 PM -> 12/7/2020 8:00:24 PM   | 
 | 239   | 137237.9 -> 137237.9   | 79636.81 -> 79636.81     | 28 -> 28   | 54 -> 54   | 0 -> 0 | 12/5/2020 7:44:56 PM -> 12/7/2020 8:00:26 PM   | 
 | 241   | 137209 -> 137209       | 79647.03 -> 79647.03     | 35 -> 35   | 59 -> 59   | 0 -> 0 | 12/5/2020 7:44:58 PM -> 12/7/2020 8:00:28 PM   | 
 | 243   | 137189 -> 137189       | 79676.91 -> 79676.91     | 43 -> 43   | 68 -> 68   | 0 -> 0 | 12/5/2020 7:45:00 PM -> 12/7/2020 8:00:30 PM   | 
 | 245   | 137172.2 -> 137172.2   | 79713.13 -> 79713.13     | 42 -> 42   | 75 -> 75   | 0 -> 0 | 12/5/2020 7:45:02 PM -> 12/7/2020 8:00:32 PM   | 
 | 247   | 137143 -> 137143       | 79742.22 -> 79742.22     | 33 -> 33   | 83 -> 83   | 0 -> 0 | 12/5/2020 7:45:04 PM -> 12/7/2020 8:00:34 PM   | 
 | 249   | 137096.6 -> 137096.6   | 79755.3 -> 79755.3       | 28 -> 28   | 90 -> 90   | 0 -> 0 | 12/5/2020 7:45:06 PM -> 12/7/2020 8:00:36 PM   | 
 | 251   | 137045.4 -> 137045.4   | 79768.42 -> 79768.42     | 29 -> 29   | 94 -> 94   | 0 -> 0 | 12/5/2020 7:45:08 PM -> 12/7/2020 8:00:38 PM   | 
 | 253   | 136990.6 -> 136990.6   | 79778.34 -> 79778.34     | 28 -> 28   | 97 -> 97   | 0 -> 0 | 12/5/2020 7:45:10 PM -> 12/7/2020 8:00:40 PM   | 
 | 255   | 136944.7 -> 136944.7   | 79785.33 -> 79785.33     | 27 -> 27   | 96 -> 96   | 0 -> 0 | 12/5/2020 7:45:12 PM -> 12/7/2020 8:00:42 PM   | 
 | 257   | 136891.1 -> 136891.1   | 79795.73 -> 79795.73     | 28 -> 28   | 97 -> 97   | 0 -> 0 | 12/5/2020 7:45:14 PM -> 12/7/2020 8:00:44 PM   | 
 | 259   | 136838.3 -> 136838.3   | 79805.33 -> 79805.33     | 28 -> 28   | 97 -> 97   | 0 -> 0 | 12/5/2020 7:45:16 PM -> 12/7/2020 8:00:46 PM   | 
 | 261   | 136786.3 -> 136786.3   | 79814.34 -> 79814.34     | 28 -> 28   | 97 -> 97   | 0 -> 0 | 12/5/2020 7:45:18 PM -> 12/7/2020 8:00:48 PM   | 
 | 263   | 136732.2 -> 136732.2   | 79825.45 -> 79825.45     | 29 -> 29   | 97 -> 97   | 0 -> 0 | 12/5/2020 7:45:20 PM -> 12/7/2020 8:00:50 PM   | 
 | 265   | 136679.6 -> 136679.6   | 79844.56 -> 79844.56     | 32 -> 32   | 97 -> 97   | 0 -> 0 | 12/5/2020 7:45:23 PM -> 12/7/2020 8:00:53 PM   | 
