Number of total tracking : 13229
Max speed : 100
Damage : 4
Time Taken : 03:40:28

 | No    | X         | Y          | Distance            | Speed (avg) | Speed (before) | Speed (after) | Heading | 
 | 225   | 20159     | 70217.45   | 27.7804662810618    | 100         | 100            | 100           | 91      | 
 | 226   | 20173.97  | 70194.05   | 27.7789004933973    | 99.5        | 100            | 99            | 91      | 
 | 227   | 20188.94  | 70170.65   | 27.7789004933973    | 99          | 99             | 99            | 91      | 
 | 228   | 20204.58  | 70147.69   | 27.7785987232543    | 99.5        | 99             | 100           | 90      | 
 | 229   | 20220.64  | 70125.02   | 27.784079648959     | 100         | 100            | 100           | 90      | 
 | 230   | 20236.7   | 70102.35   | 27.7777049974972    | 99.5        | 100            | 99            | 90      | 
 | 231   | 20253.33  | 70080.09   | 27.7836415963863    | 99.5        | 99             | 100           | 90      | 
 | 232   | 20270.29  | 70058.09   | 27.7802026334531    | 100         | 100            | 100           | 89      | 
 | 233   | 20287.25  | 70036.09   | 27.7802026334531    | 99.5        | 100            | 99            | 89      | 
 | 234   | 20305.05  | 70014.77   | 27.7817614136043    | 99          | 99             | 99            | 88      | 
 | 235   | 20322.86  | 69993.44   | 27.7830130293365    | 99.5        | 99             | 100           | 88      | 
 | 236   | 20341.67  | 69972.99   | 27.7808207595671    | 99.5        | 100            | 99            | 88      | 
 | 237   | 20361.19  | 69953.23   | 27.7779054977872    | 99          | 99             | 99            | 87      | 
 | 238   | 20380.72  | 69933.47   | 27.7834628997082    | 99          | 99             | 99            | 87      | 
 | 239   | 20401.07  | 69914.56   | 27.7811338338579    | 99          | 99             | 99            | 87      | 
 | 240   | 20421.43  | 69895.66   | 27.782564936651     | 99.5        | 99             | 100           | 87      | 
 | 241   | 20441.83  | 69876.8    | 27.7793556485791    | 99.5        | 100            | 99            | 87      | 
 | 242   | 20462.39  | 69858.12   | 27.7832285945621    | 99          | 99             | 99            | 86      | 
 | 243   | 20482.96  | 69839.44   | 27.7832285945621    | 99.5        | 99             | 100           | 86      | 
 | 244   | 20504.13  | 69821.45   | 27.7792374833481    | 99.5        | 100            | 99            | 86      | 
 | 245   | 20525.89  | 69804.18   | 27.782351288567     | 99.5        | 99             | 100           | 85      | 
 | 246   | 20547.65  | 69786.91   | 27.782351288567     | 99.5        | 100            | 99            | 85      | 
 | 247   | 20570.11  | 69770.55   | 27.7807842340034    | 99.5        | 99             | 100           | 85      | 
 | 248   | 20592.56  | 69754.19   | 27.7792056933134    | 100         | 100            | 100           | 85      | 
 | 249   | 20615.52  | 69738.55   | 27.7807284843661    | 99.5        | 100            | 99            | 84      | 
 | 250   | 20638.58  | 69723.06   | 27.7812291972337    | 99.5        | 99             | 100           | 84      | 
 | 251   | 20661.64  | 69707.57   | 27.7812291972337    | 99.5        | 100            | 99            | 84      | 
 | 252   | 20684.65  | 69692      | 27.7795643761729    | 99.5        | 99             | 100           | 85      | 
 | 253   | 20707.65  | 69676.42   | 27.7823267793469    | 99.5        | 100            | 99            | 85      | 
 | 254   | 20730.16  | 69660.13   | 27.7805571153225    | 99          | 99             | 99            | 85      | 
 | 255   | 20751.99  | 69642.95   | 27.7793803664023    | 99          | 99             | 99            | 86      | 
 | 256   | 20773.82  | 69625.77   | 27.7793803664023    | 99.5        | 99             | 100           | 86      | 
 | 257   | 20794.35  | 69607.05   | 27.783517202201     | 100         | 100            | 100           | 88      | 
