Number of total tracking : 31336
Total Time taken : 12:51:49

 | No    | X         | Y          | Heading | Speed | Damage | Date and Time         | 
 | 347   | 134764.9  | 80413.5    | 22      | 24    | 0      | 12/5/2020 7:46:45 PM  | 
 | 349   | 134752    | 80411.81   | 23      | 23    | 0      | 12/5/2020 7:46:47 PM  | 
 | 351   | 134738.1  | 80416.09   | 36      | 29    | 0      | 12/5/2020 7:46:49 PM  | 
 | 353   | 134729.6  | 80428.65   | 42      | 24    | 0      | 12/5/2020 7:46:51 PM  | 
 | 355   | 134727.9  | 80432.22   | 43      | 0     | 0      | 12/5/2020 7:46:53 PM  | 
 | 357   | 134727.9  | 80432.22   | 43      | 0     | 0      | 12/5/2020 7:46:55 PM  | 
 | 359   | 134727.9  | 80432.23   | 43      | 0     | 0      | 12/5/2020 7:46:57 PM  | 
 | 361   | 134727.9  | 80432.23   | 43      | 0     | 0      | 12/5/2020 7:46:59 PM  | 
 | 363   | 134727.9  | 80432.23   | 43      | 0     | 0      | 12/5/2020 7:48:01 PM  | 
 | 365   | 134727.9  | 80432.23   | 43      | 0     | 0      | 12/5/2020 7:48:03 PM  | 
 | 367   | 134727.9  | 80432.23   | 43      | 0     | 0      | 12/5/2020 7:48:05 PM  | 
 | 369   | 134727.9  | 80432.23   | 43      | 0     | 0      | 12/5/2020 7:48:07 PM  | 
 | 371   | 134727.9  | 80432.23   | 43      | 0     | 0      | 12/5/2020 7:48:09 PM  | 
 | 373   | 134727.9  | 80432.23   | 43      | 0     | 0      | 12/5/2020 7:48:11 PM  | 
 | 375   | 134727.9  | 80432.23   | 43      | 0     | 0      | 12/5/2020 7:48:13 PM  | 
 | 377   | 134727.9  | 80432.23   | 43      | 0     | 0      | 12/5/2020 7:48:15 PM  | 
 | 379   | 134727.8  | 80432.36   | 43      | 2     | 0      | 12/5/2020 7:48:17 PM  | 
 | 381   | 134725    | 80438.99   | 44      | 24    | 0      | 12/5/2020 7:48:19 PM  | 
 | 383   | 134716.5  | 80453.59   | 38      | 38    | 0      | 12/5/2020 7:48:21 PM  | 
 | 385   | 134691.1  | 80458.58   | 23      | 49    | 0      | 12/5/2020 7:48:23 PM  | 
 | 387   | 134662.7  | 80449.84   | 20      | 60    | 0      | 12/5/2020 7:48:25 PM  | 
 | 389   | 134628.8  | 80440.65   | 21      | 69    | 0      | 12/5/2020 7:48:27 PM  | 
 | 391   | 134589.7  | 80431.25   | 21      | 69    | 0      | 12/5/2020 7:48:29 PM  | 
 | 393   | 134551.8  | 80422.5    | 22      | 73    | 0      | 12/5/2020 7:48:31 PM  | 
